Date,Price,Volume,Index,Spreads,Hash,GT,GD,ABT
20180201,9503.895,358.4,30,0.085168873,20771929.65,39,1341.1,543.35
20180202,8467.065,519.4,15,0.10284594,21660135.53,39,1345,515.0178571
20180203,8849.525,248.71,40,0.079628756,20679312.26,39,1603.37,539.0443038
20180204,8645.41,280.94,24,0.078163495,23111856.08,46,1415.98,490.2921348
20180205,7509.3,593.89,11,0.106292298,24154241.25,46,1337.1,463.4432432
20180206,6950.37,886.88,8,0.125184855,22166651.46,46,1344.65,509.5470588
20180207,7890.77,445.62,36,0.093739416,20180358.83,46,1328.5,615.8297872
20180208,8117.21,296.1,30,0.081298184,18789358.23,46,1311.05,657.9160305
20180209,8259.28,233.94,44,0.075221318,19374750.14,46,1316.05,643.2666667
20180210,8628.87,263.53,54,0.076502869,20378716.28,46,1410.28,603.993007
20180211,8217.83,236.2,31,0.080788137,21622570.36,27,1354.83,569.7218543
20180212,8540.875,238.67,42,0.06963061,23820146.99,27,1321.7,523.8614458
20180213,8667.25,195.87,35,0.073878933,24067508.43,27,1329.4,511.8170732
20180214,9025.6,246.88,55,0.052857915,25756515.77,27,1330.75,497.0055866
20180215,9793.48,291.28,71,0.054309533,19244657.11,27,1353.7,658.8931298
20180216,10011.76,206.44,67,0.056939975,23016593.35,27,1358.6,546.3566879
20180217,10596.76,224.76,74,0.055424044,21344736.07,27,1564.23,581.5503356
20180218,10724.675,288.91,63,0.065804903,23433667.62,23,1898.18,529.7777778
20180219,10801.14,215.2,67,0.06190012,23330802.73,23,1347.4,539.3703704
20180220,11466.59,267.56,74,0.054206196,21156067.71,23,1337.4,608.212766
20180221,10775.895,327.14,54,0.059562791,25329357.42,23,1328.6,513.4497041
20180222,10349.38,316.63,44,0.056373406,22434943.17,23,1323.5,576.4832215
20180223,10012.335,271.5,39,0.055512269,22212710.07,23,1328.9,585.2905405
20180224,9962.27,239.16,31,0.053178557,21713665.78,23,1529.6,599.9448276
20180225,9601.615,196.49,33,0.052462516,25665349.13,19,1545.07,503.4912281
20180226,9934.665,235.94,37,0.049389872,21133205.75,19,1339.05,609.7234043
20180227,10516.81,202.58,44,0.047647383,23959003.73,19,1332.75,544.175
20180228,10685.45,215.22,41,0.04635393,23194211.41,19,1320.3,557.0967742
20180301,10668.93,188.77,38,0.046798431,24705802.5,19,1311.25,524.1636364
20180302,10996.695,201.69,47,0.044841911,23842745.98,19,1316.75,551.9679487
20180303,11286.89,172.2,56,0.041931743,27195753.13,19,1455.43,478.1333333
20180304,11311.9,156.4,44,0.043396622,22143285.64,19,1448.74,587.7905405
20180305,11562.85,162.11,55,0.040194608,23985561.61,19,1326.3,580.3489933
20180306,11015.465,230.65,59,0.045409119,25532022.42,19,1324.95,552.1217949
20180307,10192.215,284.54,37,0.062221043,26281813.31,19,1332.5,549.1783439
20180308,9603.03,256.26,39,0.0568531,26523450.12,19,1325.4,534.2962963
20180309,8913.415,371.46,37,0.063705261,24151648.66,19,1319.35,588.5684932
20180310,9123.025,198.73,39,0.054294776,23115220.79,19,1691.78,615.5428571
20180311,9109.98,266.59,40,0.055716247,25454687.02,19,1739.15,569.3202614
20180312,9351.965,257.91,41,0.051455587,26642559.26,19,1317.25,534.6645963
20180313,9171.385,239.46,41,0.0573579,26098731.83,19,1318.7,542.3481013
20180314,8663.8,305.45,40,0.05745266,23773413.75,19,1324.95,606.5694444
20180315,8065.295,326.53,32,0.056219294,23449035.25,19,1323.35,602.6527778
20180316,8270.37,236.13,33,0.050782758,25644404.8,19,1320.05,548.3076923
20180317,8063.025,208.05,31,0.067408197,24449634.44,19,1365.8,585.4563758
20180318,7809.16,348.02,29,0.0635296,25243525.01,17,1411.52,572.1059603
20180319,8427.63,316.96,29,0.057681709,26878213.94,17,1311.7,552.6129032
20180320,8698.015,253.44,37,0.055312009,21770259.76,17,1312.75,684.4173228
20180321,8981.6,218.19,36,0.052652125,26233002.22,17,1316.35,567.3223684
20180322,8803.94,223.01,36,0.047854348,25473509.04,17,1328.85,606.2237762
20180323,8621.73,210.11,28,0.052579029,22757232.04,17,1342.35,649.7218045
20180324,8775.88,177.43,32,0.051265684,26919425.44,17,1608.35,552.3910256
20180325,8543.105,149.52,30,0.054838411,23975622.9,17,1414.06,621.3703704
20180326,8195.155,247.18,31,0.04846261,25842073.61,17,1348.4,593.1466667
20180327,7989.27,223.1,24,0.054368866,26107955.36,17,1350.65,569.1381579
20180328,7935.195,167.36,24,0.054210373,23709762.74,17,1341.05,629.4148148
