Time,Author,Headline,Target
2017/1/21 5:47,Skinwah,Short bitcoin,BTCUSD
2017/1/24 8:13,Skinwah,Short Bitcoin,BTCUSD
2017/2/27 9:31,ElPoniVengador,Time to short Bitcoin,BTCUSD
2017/3/2 8:43,EduNuri,"Short Bitcoin, hit the uptrend line and overbought.",BTCUSD
2017/3/5 22:44,lukelehepuu,BITCOIN SHORT OPPORTUNITY?,BTCUSD
2017/3/13 7:06,SpocksBrain,Looks tired,BTCUSD
2017/3/18 3:36,bagofXMR,BITCOIN POTENTIAL SHORT: BEAR FUNDAMENTALS,BTCUSD
2017/4/12 21:13,bagofXMR,Three Drives Pattern,BTCUSD
2017/4/13 9:46,keebler,Bitcoin Short BTC/USD Bitfinex,BTCUSD
2017/4/29 7:36,EJSM,"BTCUSD, SHORT",BTCUSD
2017/5/2 9:32,Goldmans_Sak,Short Bitcoin - target 1250,BTCUSD
2017/5/13 2:40,josev,Btc short time next days!,BTCUSD
2017/5/19 9:21,O4karitO,Bitcoin butterfly & bearish divergence,BTCUSD
2017/5/19 22:58,rexlomax,Bitcoin uptrend might be about to end.,BTCUSD
2017/5/22 22:56,hpspain,Short BITCOIN 2150 if hits,BTCUSD
2017/5/25 4:04,Koogi,BTCEUR Short,XBTEUR
2017/5/26 18:31,altcoins_trading,short bitcoin X100,BTCUSD
2017/8/17 3:24,BTCMarket,Bitcoin Setup,BTCUSD
2017/8/21 18:15,madsroland,BTC is getting weak,BTCUSD
2017/8/23 6:01,BorisMisale,Short Bitcoin,BTCUSD
2017/10/12 2:39,Triple_Barrel_Capital,$BTC Bitcoin Elliot Waves - Short term bearish,BTCUSD
2017/10/14 3:55,init,Short Bitcoin until mid-november,BTCUSD
2017/10/16 3:02,Simon-Rose,Going short on Bitcoin because everyone just buying for BTG!,BTCUSD
2017/10/17 12:35,Zeenobit,BTC Correction Prior to Spoon,BTCUSD
2017/10/19 11:17,Bulls-Eye,Bitcoin - Possible reversal,BTCUSD
